DeptTag,CourseNum,CourseName,PreReqs,reqsFilled,TermsOffered
,,,,,
AFST,100,To Make the World Anew: Black Liberation in the Twentieth Century,None,"['A&I', 'WRC', 'IDS']",['Fall 2019']
,,,,,
AFST,112,Black Revolution on Campus,None,"['WRC', 'IDS', 'SOC']",['Winter 2020']
,,,,,
AFST,113,Introduction to Africana Studies,None,"['IDS', 'HUM']",['Fall 2019']
,,,,,
AFST,120,Gender and Sexuality in the African Diaspora,None,"['SOC', 'INS']",[]
,,,,,
AFST,125,New African Migrations,None,"['WRC', 'SOC', 'INS']",[]
,,,,,
AFST,200,The Black Intellectual Tradition in the Twentieth Century,None,"['WRC', 'IDS', 'SOC']",[]
,,,,,
AFST,220,Intersectionality,None,"['IDS', 'SOC']",[]
,,,,,
AFST,398,Africana Studies Capstone,None,[],['Winter 2020']
,,,,,
AFST,400,Integrative Exercise,None,[],[]
,,,,,
AMST,115,Introduction to American Studies,None,"['WRC', 'IDS', 'HUM']","['Fall 2019', 'Winter 2020']"
,,,,,
AMST,218,Asian American Studies,None,"['IDS', 'SOC']",[]
,,,,,
AMST,220,Producing Latinidad: Media and Cultural Expression,None,"['WRC', 'IDS', 'HUM']",[]
,,,,,
AMST,225,Beauty and Race in America,None,"['WRC', 'IDS', 'HUM']",['Spring 2020']
,,,,,
AMST,228,"Mean Girls: the Movie, the Phenomenon",None,[],[]
,,,,,
AMST,230,"The American Sublime: Landscape, Character & National Destiny in Nineteenth Century America",None,"['WRC', 'LAA']",['Fall 2019']
,,,,,
AMST,231,Contemporary Indigenous Activism,None,"['IDS', 'HUM']",['Fall 2019']
,,,,,
AMST,240,The Midwest and the American Imagination,None,"['WRC', 'HUM']",[]
,,,,,
AMST,244,Approaches to Indigenous Studies,None,"['IDS', 'HUM']",['Winter 2020']
,,,,,
AMST,254,The 1930s:  Social and Cultural Impact of the Great Depression,None,"['WRC', 'IDS', 'HUM']",['Spring 2020']
,,,,,
AMST,261,Unwritten America,None,"['IDS', 'LAA']",[]
,,,,,
AMST,267,"Utopia, Dystopia, and Myopia: Suburbia in Fiction and Scholarship",Prerequisites: American Studies 115 or sophomore standing,['IDS'],[]
,,,,,
AMST,287,California Program: California Art and Visual Culture,None,['LAA'],[]
,,,,,
AMST,289,California Program: California Field Studies,None,[],[]
,,,,,
AMST,325,Oscars So White: Thinking about Race and Hollywood,Prerequisites: American Studies 115,"['IDS', 'HUM']",[]
,,,,,
AMST,345,Theory and Practice of American Studies,"Prerequisites: American Studies 115, 287 or instructor permission",['IDS'],['Winter 2020']
,,,,,
AMST,396,Commodifying and Policing: Globalization of the American Suburb and City,"Prerequisites: American Studies 115, 287 or instructor permission","['WRC', 'IDS', 'SOC']",[]
,,,,,
AMST,399,Senior Seminar in American Studies,Prerequisites: American Studies 396,[],['Winter 2020']
,,,,,
AMST,400,Integrative Exercise: Exam and Essay,Prerequisites: American Studies 396,[],['Winter 2020']
,,,,,
ARCN,246,Archaeological Methods & Lab,None,"['QRE', 'LAB']",[]
,,,,,
ARCN,250,Digital Archaeology,None,['QRE'],[]
,,,,,
ARCN,395,"Archaeology: Science, Ethics, Nationalism and Cultural Property",None,[],['Spring 2020']
,,,,,
ARTS,110,Observational Drawing,None,['ARP'],"['Fall 2019', 'Winter 2020', 'Fall 2019']"
,,,,,
ARTS,113,Field Drawing,None,['ARP'],"['Spring 2020', 'Fall 2019']"
,,,,,
ARTS,114,European Architectural Studies Program: Introduction to Drawing Architecture,None,['ARP'],"['Winter 2020', 'Fall 2019']"
,,,,,
ARTS,116,Ireland Program: Visualizing Ireland,None,"['INS', 'ARP']",['Winter 2020']
,,,,,
ARTS,122,Introduction to Sculpture,None,['ARP'],"['Winter 2020', 'Spring 2020']"
,,,,,
ARTS,124,Praxis and Poetics in 3D Art and Design,None,['ARP'],['Fall 2019']
,,,,,
ARTS,130,Beginning Ceramics,None,['ARP'],"['Fall 2019', 'Spring 2020']"
,,,,,
ARTS,140,The Digital Landscape,None,['ARP'],['Spring 2020']
,,,,,
ARTS,141,Experimental Photography,None,['ARP'],"['Spring 2020', 'Spring 2020']"
,,,,,
ARTS,150,Elements of 3-D Design,None,['ARP'],[]
,,,,,
ARTS,151,Metalsmithing,None,['ARP'],['Fall 2019']
,,,,,
ARTS,161,Watercolor,None,['ARP'],[]
,,,,,
ARTS,180,Bookbinding,None,['ARP'],['Winter 2020']
,,,,,
ARTS,210,Life Drawing,"Prerequisites: Studio Art 110, 113 or 211",['ARP'],['Winter 2020']
,,,,,
ARTS,211,Topics in Art and the Environment: Drawing the Anthropocene,"Prerequisites: Studio Arts 110, 113 or 114 or instructor consent",['ARP'],['Spring 2020']
,,,,,
ARTS,212,Studio Art Seminar in the South Pacific: Mixed-Media Drawing,"Prerequisites: Studio Art 110, 113 or 114",['ARP'],[]
,,,,,
ARTS,230,Ceramics: Throwing,"Prerequisites: Studio Art 130, 236 or high school experience with wheel throwing and instructor permission",['ARP'],"['Spring 2020', 'Fall 2019']"
,,,,,
ARTS,232,Ceramics: Handbuilding,"Prerequisites: Studio Art 122, 130, 150, 151, 236 or instructor consent",['ARP'],['Fall 2019']
,,,,,
ARTS,234,The Figure in Clay,"Prerequisites: Studio Art 122, 130 or instructor’s consent",['ARP'],[]
,,,,,
ARTS,236,Ceramics: Vessels for Tea,Prerequisites: Requires concurrent registration in Art History 266,"['IDS', 'ARP']",[]
,,,,,
ARTS,238,Photography I,"Prerequisites: Studio Art 110, 113, 114, 140 or 141",['ARP'],"['Winter 2020', 'Fall 2019']"
,,,,,
ARTS,240,Introduction to Film and Digital Photography,"Prerequisites: Studio Art 110, 113, 114, 140 or 141",['ARP'],"['Fall 2019', 'Winter 2020']"
,,,,,
ARTS,252,Metalsmithing: Casting and Color,"Prerequisites: Studio Art 110, 113, 114, 122, 130, 150 or 151",['ARP'],['Spring 2020']
,,,,,
ARTS,260,Painting,"Prerequisites: Studio Art 110, 113, 114 or 161",['ARP'],"['Fall 2019', 'Winter 2020']"
,,,,,
ARTS,273,Studio Art Seminar in the South Pacific: Printmaking,"Prerequisites: Studio Arts 110, 113 or 114 and acceptance in OCS Program",['ARP'],['Spring 2020']
,,,,,
ARTS,274,Printmaking,"Prerequisites: Studio Art 110, 113 or 114",['ARP'],['Fall 2019']
,,,,,
ARTS,275,Studio Art Seminar in the South Pacific: The Physical and Cultural Environment,"Prerequisites: Studio Art 110, 113 or 114 and acceptance to Carleton OCS program","['SOC', 'INS']",[]
,,,,,
ARTS,298,Junior Studio Art Practicum,None,[],['Spring 2020']
,,,,,
ARTS,322,Sculpture 2: Form and Context,"Prerequisites: Studio Art 122, 150, 151, 232 or instructor permission",['ARP'],['Spring 2020']
,,,,,
ARTS,327,Woodworking: The Table,Prerequisites: Studio Art 122 or instructor permission,['ARP'],[]
,,,,,
ARTS,330,Advanced Ceramics,"Prerequisites: Studio Art 130, 230, 232, 234 or 236",['ARP'],"['Winter 2020', 'Spring 2020']"
,,,,,
ARTS,339,Advanced Photo: Digital Imaging,"Prerequisites: Studio Art 140, 141, 238 or 240 or instructor permission",['ARP'],['Winter 2020']
,,,,,
ARTS,360,Advanced Painting and Drawing,"Prerequisites: Studio Art 110 and 260 (for students focusing on painting) or two prior drawing or printmaking courses from Studio Art 110, 113, 114, 210, 212, and 274 (for students focusing on drawing)",['ARP'],['Spring 2020']
,,,,,
ARTS,374,Advanced Printmaking and Book Arts,Prerequisites: Studio Art 273 or 274,['ARP'],['Spring 2020']
,,,,,
ARTS,398,Senior Studio Art Practicum,None,[],['Spring 2020']
,,,,,
ARTS,400,Integrative Exercise,Prerequisites: Any one Art History course or instructor permission,[],[]
,,,,,
ARTH,100,Laughing Matters: The History of Political Caricature,None,"['A&I', 'WRC']",['Winter 2020']
,,,,,
ARTH,100,"Renaissance, Revolution, and Reformation: The Life and Art of Albrecht Dürer",None,"['A&I', 'WRC', 'INS']",[]
,,,,,
ARTH,101,Introduction to Art History I,Prerequisites: 200 level Art History course or instructor permission,"['WRC', 'INS', 'LAA']",['Spring 2020']
,,,,,
ARTH,102,Introduction to Art History II,te,"['WRC', 'INS', 'LAA']",[]
,,,,,
ARTH,140,African Art and Culture,None,"['INS', 'LAA']","['Fall 2019', 'Winter 2020', 'Spring 2020']"
,,,,,
ARTH,155,Islamic Art and Architecture,None,"['INS', 'LAA']",[]
,,,,,
ARTH,160,American Art to 1940,None,"['IDS', 'LAA']",[]
,,,,,
ARTH,164,Buddhist Art,None,"['INS', 'LAA']",[]
,,,,,
ARTH,165,Japanese Art and Culture,None,"['INS', 'LAA']",[]
,,,,,
ARTH,166,Chinese Art and Culture,None,"['INS', 'LAA']",[]
,,,,,
ARTH,171,History of Photography,None,['LAA'],[]
,,,,,
ARTH,172,Modern Art: 1890-1945,None,"['INS', 'LAA']",[]
,,,,,
ARTH,209,Chinese Painting,None,"['INS', 'LAA']",[]
,,,,,
ARTH,211,Contemporary Art Program: Critical Issues in Art Now,None,"['INS', 'LAA']",[]
,,,,,
ARTH,212,Contemporary Art Program: The Art World and Its Institutions,None,['HUM'],[]
,,,,,
ARTH,213,Contemporary Art Program: Art Criticism in the Digital Age,None,[],[]
,,,,,
ARTH,214,Queer Art,None,"['IDS', 'LAA']",[]
,,,,,
ARTH,215,Cross-Cultural Psychology in Prague: Czech Art and Architecture,None,"['INS', 'LAA']",[]
,,,,,
ARTH,220,The Origins of Manga: Japanese Prints,None,"['INS', 'LAA']",[]
,,,,,
ARTH,225,"Religion, Royalty & Romantics: The Gothic and Gothic Revival",None,"['INS', 'LAA']",[]
,,,,,
ARTH,232,Madrid Program: Spanish Art Live,None,"['INS', 'LAA']",[]
,,,,,
ARTH,235,"Revival, Revelation, and Re-animation: The Art of Europe’s “Renaissance”",None,"['INS', 'LAA']",[]
,,,,,
ARTH,236,Baroque Art,None,"['INS', 'LAA']",[]
,,,,,
ARTH,240,Art Since 1945,None,"['WRC', 'IDS', 'LAA']",[]
,,,,,
ARTH,241,Contemporary Art for Artists,None,['LAA'],[]
,,,,,
ARTH,245,Modern Architecture,None,['LAA'],[]
,,,,,
ARTH,247,Architecture Since 1950,None,['LAA'],[]
,,,,,
ARTH,255,Islam in the Eyes of the West,None,"['INS', 'LAA']",[]
,,,,,
ARTH,263,European Architectural Studies Program: Prehistory to Postmodernism,None,"['INS', 'LAA']",[]
,,,,,
ARTH,264,European Architectural Studies Program: Managing Monuments: Issues in Cultural Heritage Practice,None,"['INS', 'LAA']",[]
,,,,,
ARTH,265,Planning Utopia: Ideal Cities in Theory and Practice,None,['LAA'],[]
,,,,,
ARTH,266,Arts of the Japanese Tea Ceremony,None,"['INS', 'LAA']",[]
,,,,,
ARTH,267,Gardens in China and Japan,None,"['INS', 'ARP']",[]
,,,,,
ARTH,268,Art History in Kyoto Program: History of Gardens and Landscape Architecture in Japan,None,"['INS', 'LAA']",[]
,,,,,
ARTH,269,Art History in Kyoto Program: Projects in Japanese Garden Design and History,None,"['INS', 'LAA']",[]
,,,,,
ARTH,288,Curatorial Seminar,None,['LAA'],[]
,,,,,
ARTH,298,Seminar for Art History Majors,None,['LAA'],[]
,,,,,
ARTH,321,Arts of the Chinese Scholar’s Studio,None,"['INS', 'LAA']",[]
,,,,,
ARTH,323,Idolatry,None,"['WRC', 'INS', 'LAA']",[]
,,,,,
ARTH,341,Art and Democracy,None,"['IDS', 'LAA']",[]
,,,,,
ARTH,400,Integrative Exercise,None,[],[]
,,,,,
CHIN,101,Elementary Chinese,None,[],['Fall 2019']
,,,,,
JAPN,101,Elementary Japanese,None,[],['Fall 2019']
,,,,,
CHIN,102,Elementary Chinese,Prerequisites: Chinese 101 or equivalent,[],['Winter 2020']
,,,,,
JAPN,102,Elementary Japanese,Prerequisites: Japanese 101 or equivalent,[],['Winter 2020']
,,,,,
CHIN,103,Elementary Chinese,Prerequisites: Chinese 102 or equivalent,[],['Spring 2020']
,,,,,
JAPN,103,Elementary Japanese,Prerequisites: Japanese 102 or equivalent,[],['Spring 2020']
,,,,,
JAPN,105,Pilgrimage and Sacred Space in Japan Program: Introduction to Japanese Language and Culture through Language Study,Prerequisites: Participation in OCS program,[],[]
,,,,,
ASLN,111,Writing Systems,None,['SOC'],['Winter 2020']
,,,,,
CHIN,204,Intermediate Chinese,Prerequisites: Chinese 103 or equivalent,[],['Fall 2019']
,,,,,
JAPN,204,Intermediate Japanese,Prerequisites: Japanese 103 or equivalent,[],['Fall 2019']
,,,,,
CHIN,205,Intermediate Chinese,"Prerequisites: Chinese 204, Chinese 280 or placement",[],['Winter 2020']
,,,,,
JAPN,205,Intermediate Japanese,Prerequisites: Japanese 204 or equivalent,[],['Winter 2020']
,,,,,
CHIN,206,Chinese in Cultural Context,Prerequisites: Chinese 205 or equivalent,[],['Spring 2020']
,,,,,
JAPN,206,Japanese in Cultural Context,Prerequisites: Japanese 205 or equivalent,[],['Spring 2020']
,,,,,
JAPN,231,Japanese Cinema in Translation,None,['LAA'],[]
,,,,,
CHIN,240,Chinese Cinema in Translation,None,['LAA'],[]
,,,,,
JAPN,244,The World of Anime in Translation,None,['LAA'],['Spring 2020']
,,,,,
CHIN,245,Chinese Vision of the Past in Translation,None,['LAA'],[]
,,,,,
JAPN,245,Modern Japanese Literature and Manga in Translation,None,"['INS', 'LAA']",['Fall 2019']
,,,,,
CHIN,250,Chinese Popular Culture in Translation,None,"['INS', 'LAA']",['Fall 2019']
,,,,,
CHIN,251,"Heroes, Heroines, Exceptional Lives in Chinese Biographical Histories",None,"['INS', 'LAA']",[]
,,,,,
CHIN,258,Classical Chinese Thought: Wisdom and Advice from Ancient Masters,None,"['HUM', 'INS']",['Spring 2020']
,,,,,
ASLN,260,Historical Linguistics,Prerequisites: Previous experience in linguistics or instructor’s permission.,['SOC'],[]
,,,,,
CHIN,280,Chinese Literacy,Prerequisites: Near-native fluency in oral Mandarin,[],['Fall 2019']
,,,,,
CHIN,310,Chinese Maintenance,Prerequisites: Chinese 206 or equivalent,[],[]
,,,,,
