DeptTag,CourseNum,CourseName,Term,reqsFilled,period
AFST,100.0,To Make the World Anew: Black Liberation in the Twentieth Century,Fall 2019,"A&I, ARP, WRC, IDS",2a
AFST,113.0,Introduction to Africana Studies,Fall 2019,"SOC, HUM, QRE, IDS, INS",5a
AFST,112.0,Black Revolution on Campus,Winter 2020,"SOC, LAA, WRC, IDS",4/5c
AFST,398.0,Africana Studies Capstone,Winter 2020,"LAA, INS",4a
AMST,115.0,Introduction to American Studies,Fall 2019,"HUM, LAA, IDS, WRC",5a
AMST,230.0,"The American Sublime: Landscape, Character & National Destiny in Nineteenth Century America",Fall 2019,"LAA, WRC, IDS",3a
AMST,231.0,Contemporary Indigenous Activism,Fall 2019,"SOC, HUM, QRE, IDS, WRC",2/3c
AMST,115.0,Introduction to American Studies,Winter 2020,"SOC, HUM, WRC, IDS, WRC, IDS",2a
AMST,244.0,Approaches to Indigenous Studies,Winter 2020,"SOC, HUM, QRE, IDS",3a
AMST,345.0,Theory and Practice of American Studies,Winter 2020,"IDS, LAA, WRC, IDS",5a
AMST,399.0,Senior Seminar in American Studies,Winter 2020,"LAA, WRC",5a
AMST,400.0,Integrative Exercise: Exam and Essay,Winter 2020,"LAA, WRC, IDS",3a
AMST,225.0,Beauty and Race in America,Spring 2020,"HUM, LAA, WRC, IDS",1/2c
AMST,254.0,The 1930s:  Social and Cultural Impact of the Great Depression,Spring 2020,"SOC, HUM, QRE, WRC, IDS",4a
ARBC,100.0,Arabs Encountering the West,Fall 2019,"WRC, A&I, INS",5a
ARBC,101.01,Elementary Arabic,Fall 2019,,1a
ARBC,101.02,Elementary Arabic,Fall 2019,,3a
ARBC,204.01,Intermediate Arabic,Fall 2019,,4a
ARBC,204.02,Intermediate Arabic,Fall 2019,,1a
ARBC,102.01,Elementary Arabic,Winter 2020,,1a
ARBC,102.02,Elementary Arabic,Winter 2020,,3a
ARBC,205.01,Intermediate Arabic,Winter 2020,,3a
ARBC,205.02,Intermediate Arabic,Winter 2020,,5a
ARBC,387.0,The One Thousand and One Nights,Winter 2020,"LAA, INS",5a
ARBC,103.01,Elementary Arabic,Spring 2020,,1a
ARBC,103.02,Elementary Arabic,Spring 2020,,2a
ARBC,185.0,The Creation of Classical Arabic Literature,Spring 2020,"LAA, INS",3a
ARBC,206.0,Arabic in Cultural Context,Spring 2020,,2a
ARBC,212.0,Colloquial Egyptian Arabic,Spring 2020,,4a
ARCN,395.0,"Archaeology: Science, Ethics, Nationalism and Cultural Property",Spring 2020,"LAB, WRC",1a
ARTH,100.01,"Renaissance, Revolution, and Reformation: The Life and Art of Albrecht Dürer",Fall 2019,"WRC, HUM, A&I, WRC, INS",3a
ARTH,100.02,Laughing Matters: The History of Political Caricature,Fall 2019,"A&I, WRC",5a
ARTH,101.0,Introduction to Art History I,Fall 2019,"LAA, WRC, INS",2a
ARTH,214.0,Queer Art,Fall 2019,"LAA, IDS",Unable to determine class period
ARTH,232.07,Madrid Program: Spanish Art Live,Fall 2019,,Unable to determine class period
ARTH,247.0,Architecture Since 1950,Fall 2019,LAA,Unable to determine class period
ARTH,400.0,Integrative Exercise,Fall 2019,,Unable to determine class period
ARTH,102.0,Introduction to Art History II,Winter 2020,"HUM, LAA, WRC, INS, INS",2a
ARTH,209.0,Chinese Painting,Winter 2020,"LAA, INS",4a
ARTH,235.0,"Revival, Revelation, and Re-animation: The Art of Europe's ""Renaissance""",Winter 2020,"LAA, INS",5a
ARTH,263.07,European Architectural Studies Program: Prehistory to Postmodernism,Winter 2020,,Unable to determine class period
ARTH,264.07,European Architectural Studies Program: Managing Monuments: Issues in Cultural Heritage Practice,Winter 2020,,Unable to determine class period
ARTH,400.0,Integrative Exercise,Winter 2020,,Unable to determine class period
ARTH,165.0,Japanese Art and Culture,Spring 2020,"LAA, INS",4/5c
ARTH,236.0,Baroque Art,Spring 2020,"LAA, INS",4/5c
ARTH,241.0,Contemporary Art for Artists,Spring 2020,LAA,4a
ARTH,265.0,Planning Utopia: Ideal Cities in Theory and Practice,Spring 2020,LAA,4/5c
ARTH,298.0,Seminar for Art History Majors,Spring 2020,LAA,2a
ARTH,323.0,Idolatry,Spring 2020,"LAA, WRC, INS",4/5c
ARTH,400.0,Integrative Exercise,Spring 2020,,4/5c
ASLN,111.0,Writing Systems,Winter 2020,SOC,4a
ASST,100.0,The Cultural Life of Plants in China,Fall 2019,"A&I, WRC, INS",1a
ASST,319.07,Buddhist Studies India Program: History of South Asian Buddhism,Fall 2019,,3a
ASST,391.07,Buddhist Studies India Program: Independent Study Project,Fall 2019,,4a
ASST,400.0,Integrative Exercise,Fall 2019,"LAA, INS",1/2c
ASST,400.0,Integrative Exercise,Winter 2020,"LAA, INS",4a
ASST,284.07,Japanese Linguistics in Kyoto Seminar: History and Culture of Japan,Spring 2020,"LAA, INS",4/5c
ASTR,110.0,Introduction to Astronomy,Fall 2019,"QRE, LAB",3a
ASTR,113.0,Observational and Laboratory Astronomy,Fall 2019,"LAB, QRE",Unable to determine class period
ASTR,110.0,Introduction to Astronomy,Winter 2020,"QRE, LAB",3a
ASTR,113.0,Observational and Laboratory Astronomy,Spring 2020,"LAB, QRE",Unable to determine class period
ASTR,232.0,Astrophysics I,Spring 2020,QRE,4a
BIOL,100.0,What Would Nature Do? Learning From the Natural World,Fall 2019,"A&I, WRC",2/3c
