Department,Course Number,Course Name,Term,Liberal Arts Requirements,Class Period,Professor,Description
AFST,100.0,To Make the World Anew: Black Liberation in the Twentieth Century,Fall 2019,"A&I, WRC, IDS",2a,Charisse E Burden-Stelly,[under construction]
AFST,113.0,Introduction to Africana Studies,Fall 2019,"HUM, IDS",5a,Charisse E Burden-Stelly,[under construction]
AFST,112.0,Black Revolution on Campus,Winter 2020,"SOC, WRC, IDS",4/5c,Charisse E Burden-Stelly,[under construction]
AFST,398.0,Africana Studies Capstone,Winter 2020,,4a,Thabiti Willis,[under construction]
AFST,400.0,Integrative Exercise,Winter 2020,,2a,Thabiti Willis,[under construction]
AMST,115.0,Introduction to American Studies,Fall 2019,"HUM, IDS, WRC",5a,Nancy J Cho,[under construction]
AMST,230.0,"The American Sublime: Landscape, Character & National Destiny in Nineteenth Century America",Fall 2019,"LAA, WRC",3a,Elizabeth  McKinsey,[under construction]
AMST,231.0,Contemporary Indigenous Activism,Fall 2019,"HUM, IDS",4/5c,Meredith L McCoy,[under construction]
AMST,115.0,Introduction to American Studies,Winter 2020,"HUM, IDS, WRC",2a,Melinda  Russell,[under construction]
AMST,244.0,Approaches to Indigenous Studies,Winter 2020,"HUM, IDS",3a,Meredith L McCoy,[under construction]
AMST,345.0,Theory and Practice of American Studies,Winter 2020,IDS,5a,Meredith L McCoy,[under construction]
AMST,399.0,Senior Seminar in American Studies,Winter 2020,,5a,Adriana  Estill,[under construction]
AMST,400.0,Integrative Exercise: Exam and Essay,Winter 2020,,3a,,[under construction]
AMST,225.0,Beauty and Race in America,Spring 2020,"HUM, WRC, IDS",1/2c,Adriana  Estill,[under construction]
AMST,254.0,The 1930s:  Social and Cultural Impact of the Great Depression,Spring 2020,"HUM, WRC, IDS",4a,Elizabeth  McKinsey,[under construction]
ARBC,100.0,Arabs Encountering the West,Fall 2019,"WRC, A&I, INS",5a,Zaki A Haidar,[under construction]
ARBC,101.01,Elementary Arabic,Fall 2019,,1a,Zaki A Haidar,[under construction]
ARBC,101.02,Elementary Arabic,Fall 2019,,3a,"Yaron  Klein', 'Sahar H Ramadan",[under construction]
ARBC,204.01,Intermediate Arabic,Fall 2019,,4a,"Yaron  Klein', 'Sahar H Ramadan",[under construction]
ARBC,204.02,Intermediate Arabic,Fall 2019,,1a,Sahar H Ramadan,[under construction]
ARBC,102.01,Elementary Arabic,Winter 2020,,1a,Sahar H Ramadan,[under construction]
ARBC,102.02,Elementary Arabic,Winter 2020,,3a,Sahar H Ramadan,[under construction]
ARBC,205.01,Intermediate Arabic,Winter 2020,,3a,Yaron  Klein,[under construction]
ARBC,205.02,Intermediate Arabic,Winter 2020,,5a,Zaki A Haidar,[under construction]
ARBC,387.0,The One Thousand and One Nights,Winter 2020,"LAA, INS",5a,Yaron  Klein,[under construction]
ARBC,103.01,Elementary Arabic,Spring 2020,,1a,Zaki A Haidar,[under construction]
ARBC,103.02,Elementary Arabic,Spring 2020,,2a,Zaki A Haidar,[under construction]
ARBC,185.0,The Creation of Classical Arabic Literature,Spring 2020,"LAA, INS",3a,Yaron  Klein,[under construction]
ARBC,206.0,Arabic in Cultural Context,Spring 2020,,2a,Sahar H Ramadan,[under construction]
ARBC,212.0,Colloquial Egyptian Arabic,Spring 2020,,4a,Sahar H Ramadan,[under construction]
ARCN,395.0,"Archaeology: Science, Ethics, Nationalism and Cultural Property",Spring 2020,,1a,"Alex R Knodell', 'Mary E Savina",[under construction]
ARTH,100.01,"Renaissance, Revolution, and Reformation: The Life and Art of Albrecht Dürer",Fall 2019,"WRC, A&I, INS",3a,Jessica F Keating,[under construction]
ARTH,100.02,Laughing Matters: The History of Political Caricature,Fall 2019,"A&I, WRC",5a,Baird E Jarman,[under construction]
ARTH,101.0,Introduction to Art History I,Fall 2019,"LAA, WRC, INS",2a,"Baird E Jarman', 'Kathleen M Ryor",[under construction]
ARTH,214.0,Queer Art,Fall 2019,"LAA, IDS",5/6c,Ross K Elfline,[under construction]
ARTH,232.07,Madrid Program: Spanish Art Live,Fall 2019,,Unable to determine class period,Humberto R Huergo,[under construction]
ARTH,247.0,Architecture Since 1950,Fall 2019,LAA,2/3c,Ross K Elfline,[under construction]
ARTH,400.0,Integrative Exercise,Fall 2019,,Unable to determine class period,,[under construction]
ARTH,102.0,Introduction to Art History II,Winter 2020,"LAA, WRC, INS",2a,"Jessica F Keating', 'Kathleen M Ryor",[under construction]
ARTH,209.0,Chinese Painting,Winter 2020,"LAA, INS",4a,Kathleen M Ryor,[under construction]
ARTH,235.0,"Revival, Revelation, and Re-animation: The Art of Europe's ""Renaissance""",Winter 2020,"LAA, INS",5a,Jessica F Keating,[under construction]
ARTH,263.07,European Architectural Studies Program: Prehistory to Postmodernism,Winter 2020,,Unable to determine class period,Baird E Jarman,[under construction]
ARTH,264.07,European Architectural Studies Program: Managing Monuments: Issues in Cultural Heritage Practice,Winter 2020,,Unable to determine class period,Baird E Jarman,[under construction]
ARTH,400.0,Integrative Exercise,Winter 2020,,Unable to determine class period,Staff,[under construction]
ARTH,165.0,Japanese Art and Culture,Spring 2020,"LAA, INS",4/5c,Kathleen M Ryor,[under construction]
ARTH,236.0,Baroque Art,Spring 2020,"LAA, INS",2/3c,Jessica F Keating,[under construction]
ARTH,241.0,Contemporary Art for Artists,Spring 2020,LAA,4a,Ross K Elfline,[under construction]
ARTH,265.0,Planning Utopia: Ideal Cities in Theory and Practice,Spring 2020,LAA,1/2c,Baird E Jarman,[under construction]
ARTH,298.0,Seminar for Art History Majors,Spring 2020,LAA,2a,Ross K Elfline,[under construction]
ARTH,323.0,Idolatry,Spring 2020,"LAA, WRC, INS",5/6c,Jessica F Keating,[under construction]
ARTH,400.0,Integrative Exercise,Spring 2020,,Unable to determine class period,Staff,[under construction]
ASLN,111.0,Writing Systems,Winter 2020,SOC,4a,Mark  Hansell,[under construction]
ASST,100.0,The Cultural Life of Plants in China,Fall 2019,"A&I, WRC, INS",1a,Kathleen M Ryor,[under construction]
ASST,319.07,Buddhist Studies India Program: History of South Asian Buddhism,Fall 2019,,3a,Arthur P McKeown,[under construction]
ASST,391.07,Buddhist Studies India Program: Independent Study Project,Fall 2019,,4a,Arthur P McKeown,[under construction]
ASST,400.0,Integrative Exercise,Fall 2019,,4/5c,Arnab  Chakladar,[under construction]
ASST,400.0,Integrative Exercise,Winter 2020,,4a,Arnab  Chakladar,[under construction]
ASST,284.07,Japanese Linguistics in Kyoto Seminar: History and Culture of Japan,Spring 2020,,4/5c,Mike Flynn,[under construction]
ASTR,110.0,Introduction to Astronomy,Fall 2019,"QRE, LAB",3a,Ryan C Terrien,[under construction]
ASTR,113.0,Observational and Laboratory Astronomy,Fall 2019,"LAB, QRE",Unable to determine class period,Cindy Blaha,[under construction]
ASTR,110.0,Introduction to Astronomy,Winter 2020,"QRE, LAB",3a,Cindy Blaha,[under construction]
ASTR,113.0,Observational and Laboratory Astronomy,Spring 2020,"LAB, QRE",Unable to determine class period,Cindy Blaha,[under construction]
ASTR,232.0,Astrophysics I,Spring 2020,QRE,4a,Cindy Blaha,[under construction]
BIOL,100.0,What Would Nature Do? Learning From the Natural World,Fall 2019,"A&I, WRC",2/3c,"Matt Rand', 'Dimitri S Smirnoff",[under construction]
BIOL,125.53,"Genes, Evolution, and Development: A Problem Solving Approach and Lab",Fall 2019,"QRE, LAB",3a,"Jennifer M Wolff', 'Debby R Walser-Kuntz', 'Sarah  Deel",[under construction]
BIOL,125.54,"Genes, Evolution, and Development: A Problem Solving Approach and Lab",Fall 2019,"QRE, LAB",3a,"Jennifer M Wolff', 'Debby R Walser-Kuntz', 'Annie Bosacker",[under construction]
BIOL,125.59,"Genes, Evolution, and Development: A Problem Solving Approach and Lab",Fall 2019,"QRE, LAB",3a,"Jennifer M Wolff', 'Debby R Walser-Kuntz', 'Annie Bosacker",[under construction]
BIOL,215.0,Agroecology,Fall 2019,QRE,4a,David  Hougen-Eitzman,[under construction]
BIOL,216.0,Agroecology Lab,Fall 2019,,Unable to determine class period,David  Hougen-Eitzman,[under construction]
BIOL,224.0,Landscape Ecology,Fall 2019,QRE,2a,John L Berini,[under construction]
BIOL,225.0,Landscape Ecology Laboratory,Fall 2019,,Unable to determine class period,John L Berini,[under construction]
BIOL,262.0,Ecological Physiology,Fall 2019,LAB,3a,Mike Nishizaki,[under construction]
BIOL,263.0,Ecological Physiology Laboratory,Fall 2019,LAB,Unable to determine class period,Mike Nishizaki,[under construction]
BIOL,280.0,Cell Biology,Fall 2019,QRE,3a,Raka M Mitra,[under construction]
BIOL,281.01,Cell Biology Laboratory,Fall 2019,,Unable to determine class period,Raka M Mitra,[under construction]
BIOL,350.0,Evolution,Fall 2019,QRE,3a,Mark  McKone,[under construction]
BIOL,365.0,Seminar: Topics in Neuroscience,Fall 2019,QRE,2/3c,Fernan Jaramillo,[under construction]
BIOL,380.0,Biochemistry,Fall 2019,,4a,Rou-Jia  Sung,[under construction]
BIOL,381.01,Biochemistry Laboratory,Fall 2019,,Unable to determine class period,Rou-Jia  Sung,[under construction]
BIOL,381.02,Biochemistry Laboratory,Fall 2019,,Unable to determine class period,Rou-Jia  Sung,[under construction]
BIOL,382.0,Seminar: Molecular Biology,Fall 2019,,2/3c,Andrew W Grenfell,[under construction]
BIOL,395.0,Research Experience Seminar in Biology,Fall 2019,QRE,1/2c,Sarah  Deel,[under construction]
BIOL,399.0,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,399.01,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,David  Hougen-Eitzman,[under construction]
BIOL,399.02,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Debby R Walser-Kuntz,[under construction]
BIOL,399.03,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Fernan Jaramillo,[under construction]
BIOL,399.04,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,399.05,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Matt Rand,[under construction]
BIOL,399.06,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Mike Nishizaki,[under construction]
BIOL,399.07,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Rou-Jia  Sung,[under construction]
BIOL,399.08,Critical Reading and Analysis of Primary Literature,Fall 2019,,Unable to determine class period,Raka M Mitra,[under construction]
BIOL,400.0,Integrative Exercise,Fall 2019,,Unable to determine class period,,[under construction]
BIOL,125.52,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand",[under construction]
BIOL,125.53,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand', 'Annie Bosacker",[under construction]
BIOL,125.54,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand', 'Annie Bosacker",[under construction]
BIOL,125.57,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand', 'Sarah  Deel",[under construction]
BIOL,125.59,"Genes, Evolution, and Development and Lab",Winter 2020,"QRE, LAB",3a,"Stephan G Zweifel', 'Matt Rand', 'Sarah  Deel",[under construction]
BIOL,126.52,Energy Flow in Biological Systems and Lab,Winter 2020,"LAB, QRE",4a,"Mike Nishizaki', 'Raka M Mitra', 'David  Hougen-Eitzman",[under construction]
BIOL,126.53,Energy Flow in Biological Systems and Lab,Winter 2020,"LAB, QRE",4a,"Raka M Mitra', 'Mike Nishizaki",[under construction]
BIOL,126.54,Energy Flow in Biological Systems and Lab,Winter 2020,"LAB, QRE",4a,"Raka M Mitra', 'Mike Nishizaki', 'David  Hougen-Eitzman",[under construction]
BIOL,210.0,Global Change Biology,Winter 2020,QRE,2/3c,John L Berini,[under construction]
BIOL,240.0,Genetics,Winter 2020,QRE,3a,Jennifer M Wolff,[under construction]
BIOL,241.0,Genetics Laboratory,Winter 2020,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,248.0,Behavioral Ecology,Winter 2020,QRE,4a,Annie Bosacker,[under construction]
BIOL,310.0,Immunology,Winter 2020,QRE,2a,Debby R Walser-Kuntz,[under construction]
BIOL,332.0,Human Physiology,Winter 2020,QRE,3a,Fernan Jaramillo,[under construction]
BIOL,333.01,Human Physiology Laboratory,Winter 2020,,Unable to determine class period,Fernan Jaramillo,[under construction]
BIOL,333.02,Human Physiology Laboratory,Winter 2020,,Unable to determine class period,Fernan Jaramillo,[under construction]
BIOL,355.0,Seminar: The Plant-Animal Interface,Winter 2020,,3a,John L Berini,[under construction]
BIOL,368.0,Seminar: Developmental Neurobiology,Winter 2020,QRE,4a,Eric D Hoopfer,[under construction]
BIOL,372.0,Seminar: Structural Biology,Winter 2020,QRE,2/3c,Rou-Jia  Sung,[under construction]
BIOL,399.0,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,399.01,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,David  Hougen-Eitzman,[under construction]
BIOL,399.02,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Debby R Walser-Kuntz,[under construction]
BIOL,399.03,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Fernan Jaramillo,[under construction]
BIOL,399.04,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,399.05,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Matt Rand,[under construction]
BIOL,399.06,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Mike Nishizaki,[under construction]
BIOL,399.07,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Rou-Jia  Sung,[under construction]
BIOL,399.08,Critical Reading and Analysis of Primary Literature,Winter 2020,,Unable to determine class period,Raka M Mitra,[under construction]
BIOL,400.01,Integrative Exercise,Winter 2020,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,400.02,Integrative Exercise,Winter 2020,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,126.52,Energy Flow in Biological Systems and Lab,Spring 2020,"LAB, QRE",3a,"Rou-Jia  Sung', 'Daniel L Hernández', 'David  Hougen-Eitzman",[under construction]
BIOL,126.53,Energy Flow in Biological Systems and Lab,Spring 2020,"LAB, QRE",3a,"Rou-Jia  Sung', 'Daniel L Hernández', 'Mike Nishizaki",[under construction]
BIOL,126.54,Energy Flow in Biological Systems and Lab,Spring 2020,"LAB, QRE",3a,"Rou-Jia  Sung', 'Daniel L Hernández', 'David  Hougen-Eitzman",[under construction]
BIOL,126.59,Energy Flow in Biological Systems and Lab,Spring 2020,"LAB, QRE",3a,"Rou-Jia  Sung', 'Daniel L Hernández', 'Sarah  Deel",[under construction]
BIOL,240.0,Genetics,Spring 2020,QRE,4a,Stephan G Zweifel,[under construction]
BIOL,241.01,Genetics Laboratory,Spring 2020,,Unable to determine class period,Stephan G Zweifel,[under construction]
BIOL,241.02,Genetics Laboratory,Spring 2020,,Unable to determine class period,Stephan G Zweifel,[under construction]
BIOL,242.0,Vertebrate Morphology,Spring 2020,,4a,Matt Rand,[under construction]
BIOL,243.01,Vertebrate Morphology Laboratory,Spring 2020,,Unable to determine class period,Matt Rand,[under construction]
BIOL,243.02,Vertebrate Morphology Laboratory,Spring 2020,,Unable to determine class period,Matt Rand,[under construction]
BIOL,338.0,Genomics and Bioinformatics,Spring 2020,"LAB, QRE",2a,,[under construction]
BIOL,339.01,Genomics and Bioinformatics Laboratory,Spring 2020,,Unable to determine class period,,[under construction]
BIOL,342.0,Animal Developmental Biology,Spring 2020,QRE,2/3c,Jennifer M Wolff,[under construction]
BIOL,352.0,Population Ecology,Spring 2020,QRE,3a,,[under construction]
BIOL,353.0,Population Ecology Laboratory,Spring 2020,,Unable to determine class period,,[under construction]
BIOL,354.0,Human Cutaneous Biology,Spring 2020,,Unable to determine class period,Charles E Crutchfield,[under construction]
BIOL,363.0,Seminar: Ecomechanics,Spring 2020,QRE,2/3c,Mike Nishizaki,[under construction]
BIOL,370.0,Seminar: Selected Topics in Virology,Spring 2020,QRE,3a,Debby R Walser-Kuntz,[under construction]
BIOL,374.0,Seminar: Grassland Ecology,Spring 2020,"WRC, QRE",2/3c,Daniel L Hernández,[under construction]
BIOL,386.0,Neurobiology,Spring 2020,QRE,2a,Fernan Jaramillo,[under construction]
BIOL,387.0,Neurobiology Laboratory,Spring 2020,,Unable to determine class period,Fernan Jaramillo,[under construction]
BIOL,399.0,Critical Reading and Analysis of Primary Literature,Spring 2020,,Unable to determine class period,Jennifer M Wolff,[under construction]
BIOL,400.0,Integrative Exercise,Spring 2020,,Unable to determine class period,Jennifer M Wolff,[under construction]
CHEM,122.0,An Introduction to Chemistry,Fall 2019,QRE,2/3c,Chris Calderone,[under construction]
CHEM,128.52,Principles of Environmental Chemistry & Lab,Fall 2019,"LAB, QRE",4a,Will Hollingsworth,[under construction]
CHEM,128.59,Principles of Environmental Chemistry & Lab,Fall 2019,"LAB, QRE",4a,Will Hollingsworth,[under construction]
CHEM,224.54,Principles of Chemistry II and Lab,Fall 2019,"LAB, QRE",1a,Deborah S Gross,[under construction]
CHEM,224.59,Principles of Chemistry II and Lab,Fall 2019,"LAB, QRE",1a,Deborah S Gross,[under construction]
CHEM,233.52,Organic Chemistry I & Lab,Fall 2019,"LAB, QRE",4a,Kim Huynh,[under construction]
CHEM,233.54,Organic Chemistry I & Lab,Fall 2019,"LAB, QRE",2a,David G Alberg,[under construction]
CHEM,233.57,Organic Chemistry I & Lab,Fall 2019,"LAB, QRE",4a,Kim Huynh,[under construction]
CHEM,301.01,Chemical Kinetics Laboratory,Fall 2019,"QRE, WRC",1a,Daniela L Kohen,[under construction]
CHEM,301.02,Chemical Kinetics Laboratory,Fall 2019,"QRE, WRC",1a,Joe Chihade,[under construction]
CHEM,301.03,Chemical Kinetics Laboratory,Fall 2019,"QRE, WRC",1a,Daniela L Kohen,[under construction]
CHEM,301.04,Chemical Kinetics Laboratory,Fall 2019,"QRE, WRC",1a,Joe Chihade,[under construction]
CHEM,343.0,Chemical Thermodynamics,Fall 2019,QRE,5a,Trish Ferrett,[under construction]
CHEM,361.0,Materials Chemistry,Fall 2019,,2a,Steven M Drew,[under construction]
CHEM,395.0,Research Experience Seminar in Chemistry,Fall 2019,QRE,1/2c,Sarah  Deel,[under construction]
CHEM,400.01,Integrative Exercise,Fall 2019,,Unable to determine class period,Staff,[under construction]
CHEM,113.52,Concepts of Chemistry & Lab,Winter 2020,"LAB, QRE",2a,Steven M Drew,[under construction]
CHEM,123.52,Principles of Chemistry I With Problem Solving & Lab,Winter 2020,"LAB, QRE",3a,Chris Calderone,[under construction]
CHEM,123.54,Principles of Chemistry I and Lab,Winter 2020,"LAB, QRE",3a,Kim Huynh,[under construction]
CHEM,123.59,Principles of Chemistry I and Lab,Winter 2020,"LAB, QRE",3a,Kim Huynh,[under construction]
CHEM,233.54,Organic Chemistry I & Lab,Winter 2020,"LAB, QRE",4a,David G Alberg,[under construction]
CHEM,233.59,Organic Chemistry I & Lab,Winter 2020,"LAB, QRE",4a,David G Alberg,[under construction]
CHEM,234.52,Organic Chemistry II & Lab,Winter 2020,"LAB, QRE",2a,Joe Chihade,[under construction]
CHEM,234.57,Organic Chemistry II & Lab,Winter 2020,"LAB, QRE",2a,Joe Chihade,[under construction]
CHEM,302.01,Quantum Spectroscopy Laboratory,Winter 2020,QRE,Unable to determine class period,Will Hollingsworth,[under construction]
CHEM,302.02,Quantum Spectroscopy Laboratory,Winter 2020,QRE,Unable to determine class period,Will Hollingsworth,[under construction]
CHEM,302.03,Quantum Spectroscopy Laboratory,Winter 2020,QRE,Unable to determine class period,Trish Ferrett,[under construction]
CHEM,302.04,Quantum Spectroscopy Laboratory,Winter 2020,QRE,Unable to determine class period,Trish Ferrett,[under construction]
CHEM,306.01,Spectrometric Characterization of Chemical Compounds,Winter 2020,QRE,2a,Matt Whited,[under construction]
CHEM,306.02,Spectrometric Characterization of Chemical Compounds,Winter 2020,QRE,2a,Matt Whited,[under construction]
CHEM,330.0,Instrumental Chemical Analysis,Winter 2020,QRE,1a,Deborah S Gross,[under construction]
CHEM,331.0,Instrumental Chemical Analysis Laboratory,Winter 2020,QRE,Unable to determine class period,Deborah S Gross,[under construction]
CHEM,344.0,Quantum Chemistry,Winter 2020,QRE,3a,Will Hollingsworth,[under construction]
CHEM,400.01,Integrative Exercise,Winter 2020,,Unable to determine class period,,[under construction]
