Department,Course Number,Course Name,Term,Liberal Arts Requirements,Class Period,Professor,Description
AFST,100.0,To Make the World Anew: Black Liberation in the Twentieth Century,Fall 2019,"AI, WRC, IDS",2a,Charisse E Burden-Stelly,"This seminar employs discussion, critical reading, and college-level writing to explore how African descendants envisioned and agitated for a world free of racism, colonialism, imperialism, Fascism, and war. Questions we will engage include: what local, national, and international strategies did persons racialized as “Black” use to improve their social conditions? How did the intersections of race, class, gender, and nationality shape Black insurgencies throughout the century? Which individuals and organizations were important to these struggles? Course requirements will include student presentations, reading responses, short essays, and small group assignments."
AFST,113.0,Introduction to Africana Studies,Fall 2019,"HUM, IDS",5a,Charisse E Burden-Stelly,"This survey course introduces students to the content and contours of Africana Studies as a field of study--its genealogy, antecedents, development, and future challenges. The course focuses on historic and contemporary experiences of African-descended peoples, particularly in the United States, the Caribbean, Africa, and Europe. We will also give some attention to how members of the Diaspora remember and encounter Africa, and to how Africans respond to the history of enslavement, colonialism, apartheid, racism and globalization."
AFST,112.0,Black Revolution on Campus,Winter 2020,"SOC, WRC, IDS",4/5c,Charisse E Burden-Stelly,"This course explores the activist roots of Africana Studies. In the late 1960s and early 1970s, students organized hundreds of protests that sparked a period of unrest, retaliation, negotiation, and reform that fundamentally reshaped college campuses across the United States. Black students, along with their “Third World” and progressive white allies, demanded that academe serve their communities and provide a “more relevant education.” The course will consider the influence of various movements, including Black power, anti-war, second wave feminism, and decolonization, on the creation of interdisciplinary fields including Black Studies, Ethnic Studies, and Women and Gender Studies."
AFST,398.0,Africana Studies Capstone,Winter 2020,,4a,Thabiti Willis,"This course gives Africana Studies majors and minors the opportunity to apply what they have learned by preparing for and presenting at the annual National Council for Black Studies (NCBS) conference. Under the guidance of Africana Studies faculty members, students will interrogate the origins and institutionalization of Africana Studies; revise an Africana Studies-themed research paper completed in a previous course into a conference paper; and prepare and submit a paper proposal for NCBS. At NCBS, students will present their own research and engage with the work of Africana Studies scholars at panels, plenaries and workshops. Afterward, they will write a short assessment of the conference and their experience in Africana Studies at Carleton. "
AFST,400.0,Integrative Exercise,Winter 2020,,2a,Thabiti Willis,
AMST,115.0,Introduction to American Studies,Fall 2019,"HUM, IDS, WRC",5a,Nancy J Cho,"This overview of the ""interdisciplinary discipline"" of American Studies will focus on the ways American Studies engages with and departs from other scholarly fields of inquiry. We will study the stories of those who have been marginalized in the social, political, cultural, and economic life of the United States due to their class, race, ethnicity, gender, sexual orientation, religion, citizenship, and level of ability. We will explore contemporary American Studies concerns like racial and class formation, the production of space and place, the consumption and circulation of culture, and transnational histories."
AMST,230.0,"The American Sublime: Landscape, Character & National Destiny in Nineteenth Century America",Fall 2019,"LAA, WRC",3a,Elizabeth  McKinsey,"Focusing on the early nineteenth century struggle to create an American nation and a national culture, we will look at the ways Americans adopted and adapted European ideas, particularly the aesthetic idea of the Sublime, in their attempt to come to terms with the conquest of the new land and its native inhabitants and with the nature of their national enterprise. Writers Irving, Cooper, Emerson, Thoreau, Hawthorne, Melville, Whitman, and Dickinson and painters Cole, Bierstadt, Church, Kensett, and Lane will be included. Major themes will include attitudes towards landscape and settlement, a distinctively American character, the nature and utility of art, and ideas of American empire."
AMST,231.0,Contemporary Indigenous Activism,Fall 2019,"HUM, IDS",4/5c,Meredith L McCoy,"Indigenous peoples across Turtle Island and the Pacific Islands are fighting to revitalize Indigenous languages, uphold tribal sovereignty, and combat violence against Indigenous women, among many other struggles. This course shines a light on contemporary Indigenous activism and investigates social justice through the lens of Indian Country, asking questions like: What tools are movements using to promote Indigenous resurgence? And what are the educational, gendered, environmental, linguistic, and religious struggles to which these movements respond? Students will acquire an understanding of contemporary Indigenous movements, the issues they address, and the responsibilities of non-Native people living on Indigenous lands. "
AMST,115.0,Introduction to American Studies,Winter 2020,"HUM, IDS, WRC",2a,Melinda  Russell,"This overview of the ""interdisciplinary discipline"" of American Studies will focus on the ways American Studies engages with and departs from other scholarly fields of inquiry. We will study the stories of those who have been marginalized in the social, political, cultural, and economic life of the United States due to their class, race, ethnicity, gender, sexual orientation, religion, citizenship, and level of ability. We will explore contemporary American Studies concerns like racial and class formation, the production of space and place, the consumption and circulation of culture, and transnational histories."
AMST,244.0,Approaches to Indigenous Studies,Winter 2020,"HUM, IDS",3a,Meredith L McCoy,"Indigenous Studies is both a body of content knowledge and a research methodology. This course provides an overview of the history of exploitative research dynamics between universities and Indigenous peoples while exposing students to alternative methodologies that center Indigenous perspectives and research priorities. Students will discuss what it means to be an ethical research partner as they learn about decolonizing and Indigenous research strategies. This course brings together ideas from History, Anthropology, Law, Public Health, Education, Literature, Art, and Social Work to evaluate studies relating to Indigenous peoples for their methods, contributions, and ethics."
AMST,345.0,Theory and Practice of American Studies,Winter 2020,IDS,5a,Meredith L McCoy,"Introduction to some of the animating debates within American Studies from the 1930s to the present. We will study select themes, theories, and methodologies in the writings of a number of scholars and try to understand 1) the often highly contested nature of debates about how best to study American culture; and 2) how various theories and forms of analysis in American Studies have evolved and transformed themselves over the last seventy years. Not designed to be a fine-grained institutional history of American Studies, but a vigorous exploration of some of the central questions of interpretation in the field. Normally taken by majors in their junior year."
AMST,399.0,Senior Seminar in American Studies,Winter 2020,,5a,Adriana  Estill,"This seminar focuses on advanced skills in American Studies research, critical reading, writing, and presentation. Engagement with one scholarly talk, keyed to the current year's comps exam theme, will be part of the course. Through a combination of class discussion, small group work and presentations, and one-on-one interactions with the professor, majors learn the process of crafting and supporting independent interdisciplinary arguments, no matter which option for comps they are pursuing. Students also will learn effective strategies for peer review and oral presentation."
AMST,400.0,Integrative Exercise: Exam and Essay,Winter 2020,,3a,,"Essay: Seniors working on approved essays or projects in American Studies with the support of their advisers, will work independently to complete their theses, performances or projects to satisfy the college ""comps"" requirement. Students will be required to give a public presentation on their papers or projects during the spring term."
AMST,225.0,Beauty and Race in America,Spring 2020,"HUM, WRC, IDS",1/2c,Adriana  Estill,
